timestep,episode,throughput,avg_acceleration,collision_count,total_controlled,vehicles_exited,deadlocks_detected,deadlock_severity,reward,deadlock_detected,severe_deadlock_detected,episode_simulation_time,total_simulation_time,episode_start_time,simulation_start_time
100040,1275,3600.0,1.2628231106094376,1,4195,4029,0,0.0,21.9,False,False,85.17,10581.56,2025-09-05 04:57:57,2025-09-05 02:03:00
100041,1275,3600.0,1.2628231106094376,1,4197,4030,0,0.0,14.9,False,False,86.83,10583.23,2025-09-05 04:57:57,2025-09-05 02:03:00
100042,1275,3600.0,1.2627949336698339,1,4198,4031,0,0.0,14.9,False,False,88.31,10584.7,2025-09-05 04:57:57,2025-09-05 02:03:00
100043,1275,3600.0,1.2626685483890532,1,4199,4032,0,0.0,14.9,False,False,89.78,10586.17,2025-09-05 04:57:57,2025-09-05 02:03:00
100044,1275,3600.0,1.2625357509073463,1,4200,4033,0,0.0,14.9,False,False,91.29,10587.69,2025-09-05 04:57:57,2025-09-05 02:03:00
100045,1275,3600.0,1.2625357509073463,1,4200,4033,0,0.0,1.9,False,False,92.76,10589.16,2025-09-05 04:57:57,2025-09-05 02:03:00
100046,1275,3600.0,1.2625357509073465,1,4201,4035,0,0.0,21.9,False,False,94.07,10590.46,2025-09-05 04:57:57,2025-09-05 02:03:00
100047,1275,3600.0,1.2625357509073465,1,4203,4037,0,0.0,21.9,False,False,95.61,10592.01,2025-09-05 04:57:57,2025-09-05 02:03:00
100048,1275,3600.0,1.2625357509073465,1,4204,4038,0,0.0,11.9,False,False,97.12,10593.51,2025-09-05 04:57:57,2025-09-05 02:03:00
100049,1275,3600.0,1.2625357509073465,1,4205,4039,0,0.0,11.9,False,False,98.7,10595.1,2025-09-05 04:57:57,2025-09-05 02:03:00
100050,1275,3600.0,1.2625357509073465,1,4206,4040,0,0.0,11.9,False,False,100.28,10596.68,2025-09-05 04:57:57,2025-09-05 02:03:00
100051,1275,3600.0,1.2625357509073465,1,4207,4041,0,0.0,11.9,False,False,101.77,10598.17,2025-09-05 04:57:57,2025-09-05 02:03:00
100052,1275,3600.0,1.2625357509073465,1,4208,4042,0,0.0,11.9,False,False,103.3,10599.7,2025-09-05 04:57:57,2025-09-05 02:03:00
100053,1275,3600.0,1.2625357509073465,1,4209,4042,0,0.0,4.9,False,False,104.76,10601.15,2025-09-05 04:57:57,2025-09-05 02:03:00
100054,1275,3600.0,1.2625720528593747,1,4209,4042,0,0.0,3.4,False,False,106.29,10602.69,2025-09-05 04:57:57,2025-09-05 02:03:00
100055,1275,3600.0,1.2626230594161378,1,4209,4042,0,0.0,3.4,False,False,107.89,10604.29,2025-09-05 04:57:57,2025-09-05 02:03:00
100056,1275,3600.0,1.2627319686494713,1,4209,4042,0,0.0,2.9,False,False,109.55,10605.95,2025-09-05 04:57:57,2025-09-05 02:03:00
100057,1275,3600.0,1.2627319686494711,1,4210,4043,0,0.0,12.9,False,False,111.32,10607.72,2025-09-05 04:57:57,2025-09-05 02:03:00
100058,1275,3600.0,1.262864153520395,1,4210,4043,0,0.0,2.9,False,False,113.11,10609.5,2025-09-05 04:57:57,2025-09-05 02:03:00
100059,1275,3600.0,1.2629630855585532,1,4210,4043,0,0.0,2.5,False,False,114.9,10611.3,2025-09-05 04:57:57,2025-09-05 02:03:00
100060,1275,3600.0,1.2630209719625554,1,4210,4043,0,0.0,2.5,False,False,116.98,10613.38,2025-09-05 04:57:57,2025-09-05 02:03:00
100061,1275,3600.0,1.2630209719625551,1,4214,4045,0,0.0,24.9,False,False,119.06,10615.46,2025-09-05 04:57:57,2025-09-05 02:03:00
100062,1275,3600.0,1.2632034633324156,1,4215,4046,0,0.0,14.15,False,False,120.92,10617.31,2025-09-05 04:57:57,2025-09-05 02:03:00
100063,1275,3600.0,1.2635281470097748,1,4216,4047,0,0.0,14.15,False,False,122.9,10619.29,2025-09-05 04:57:57,2025-09-05 02:03:00
100064,1275,3600.0,1.2635342492700925,1,4217,4048,0,0.0,14.9,False,False,124.9,10621.29,2025-09-05 04:57:57,2025-09-05 02:03:00
100065,1275,3600.0,1.2634400404223398,1,4218,4051,0,0.0,34.9,False,False,126.72,10623.11,2025-09-05 04:57:57,2025-09-05 02:03:00
100066,1275,3600.0,1.2634400404223398,1,4218,4051,0,0.0,1.9,False,False,128.25,10624.65,2025-09-05 04:57:57,2025-09-05 02:03:00
100067,1275,3600.0,1.2634400404223394,1,4219,4053,0,0.0,21.9,False,False,129.63,10626.02,2025-09-05 04:57:57,2025-09-05 02:03:00
100068,1275,3600.0,1.2634400404223394,1,4220,4054,0,0.0,11.9,False,False,131.21,10627.6,2025-09-05 04:57:57,2025-09-05 02:03:00
100069,1275,3600.0,1.2634400404223394,1,4221,4055,0,0.0,11.9,False,False,132.85,10629.25,2025-09-05 04:57:57,2025-09-05 02:03:00
100070,1275,3600.0,1.2634400404223394,1,4223,4055,0,0.0,3.9,False,False,134.75,10631.14,2025-09-05 04:57:57,2025-09-05 02:03:00
100071,1275,3600.0,1.2635899115669955,1,4223,4055,0,0.0,3.9,False,False,136.59,10632.99,2025-09-05 04:57:57,2025-09-05 02:03:00
100072,1275,3600.0,1.2639827302233433,1,4223,4055,0,0.0,3.4,False,False,138.45,10634.85,2025-09-05 04:57:57,2025-09-05 02:03:00
100073,1275,3600.0,1.264140350118413,1,4223,4055,0,0.0,3.4,False,False,140.52,10636.91,2025-09-05 04:57:57,2025-09-05 02:03:00
100074,1275,3600.0,1.264078748350013,1,4224,4056,0,0.0,13.9,False,False,142.43,10638.82,2025-09-05 04:57:57,2025-09-05 02:03:00
100075,1275,3600.0,1.2641154440743512,1,4224,4057,0,0.0,13.4,False,False,144.24,10640.63,2025-09-05 04:57:57,2025-09-05 02:03:00
100076,1275,3600.0,1.26415437349045,1,4224,4057,0,0.0,3.4,False,False,145.93,10642.33,2025-09-05 04:57:57,2025-09-05 02:03:00
100077,1275,3600.0,1.2641887541767038,1,4224,4057,0,0.0,3.4,False,False,147.58,10643.97,2025-09-05 04:57:57,2025-09-05 02:03:00
100078,1275,3600.0,1.264480836801456,1,4225,4057,0,0.0,4.9,False,False,149.22,10645.62,2025-09-05 04:57:57,2025-09-05 02:03:00
100079,1275,3600.0,1.2644164021309794,1,4225,4058,0,0.0,14.9,False,False,150.88,10647.28,2025-09-05 04:57:57,2025-09-05 02:03:00
100080,1275,3600.0,1.264483730419247,1,4225,4058,0,0.0,4.9,False,False,152.41,10648.81,2025-09-05 04:57:57,2025-09-05 02:03:00
100081,1275,3600.0,1.2644837304192467,1,4225,4059,0,0.0,11.9,False,False,153.86,10650.26,2025-09-05 04:57:57,2025-09-05 02:03:00
100082,1275,3600.0,1.2644837304192467,1,4226,4060,0,0.0,11.9,False,False,155.5,10651.9,2025-09-05 04:57:57,2025-09-05 02:03:00
100083,1275,3600.0,1.2644837304192467,1,4228,4060,0,0.0,3.9,False,False,157.3,10653.7,2025-09-05 04:57:57,2025-09-05 02:03:00
100084,1275,3600.0,1.2644074082006749,1,4228,4060,0,0.0,3.4,False,False,159.09,10655.49,2025-09-05 04:57:57,2025-09-05 02:03:00
100085,1275,3600.0,1.2643275879204297,1,4228,4061,0,0.0,12.9,False,False,161.0,10657.4,2025-09-05 04:57:57,2025-09-05 02:03:00
100086,1275,3600.0,1.2643275879204294,1,4229,4063,0,0.0,21.9,False,False,162.78,10659.18,2025-09-05 04:57:57,2025-09-05 02:03:00
100087,1275,3600.0,1.2643275879204294,1,4231,4063,0,0.0,3.9,False,False,164.42,10660.81,2025-09-05 04:57:57,2025-09-05 02:03:00
100088,1275,3600.0,1.2644909078447475,1,4231,4063,0,0.0,3.4,False,False,166.23,10662.62,2025-09-05 04:57:57,2025-09-05 02:03:00
100089,1275,3600.0,1.2647304468631688,1,4231,4063,0,0.0,3.1,False,False,168.13,10664.52,2025-09-05 04:57:57,2025-09-05 02:03:00
